coin 1;coin 2;number of matches
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;274
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;120
D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;85
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;83
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;68
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;66
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;65
D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;64
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;53
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;50
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;49
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;49
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;46
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;45
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;45
D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;44
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;44
D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;43
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;42
D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;41
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;41
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;41
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;40
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;38
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;38
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;37
D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;36
D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;36
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\484-R.jpg;36
D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13826-R.jpg;35
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;35
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;33
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;33
D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;32
D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;32
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33513-R.jpg;31
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;31
D:\code\python\numisma\numisma\data\R_1211\5572-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33437-R.jpg;31
D:\code\python\numisma\numisma\data\R_1211\17323-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;30
D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;30
D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;29
D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;28
D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;28
D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;28
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;28
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;28
D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;27
D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;27
D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;27
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19138-R.jpg;27
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;27
D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;26
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;26
D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;25
D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;25
D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18000-R.jpg;25
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;25
D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;24
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;24
D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;D:\code\python\numisma\numisma\data\R_1211\123-R.jpg;23
D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18102-R.jpg;23
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;23
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14678-R.jpg;23
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18546-R.jpg;23
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;23
D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;22
D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;22
D:\code\python\numisma\numisma\data\R_1211\1374-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;21
D:\code\python\numisma\numisma\data\R_1211\36246-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;21
D:\code\python\numisma\numisma\data\R_1211\36844-R.jpg;D:\code\python\numisma\numisma\data\R_1211\36258-R.jpg;21
D:\code\python\numisma\numisma\data\R_1211\32730-R.jpg;D:\code\python\numisma\numisma\data\R_1211\31936-R.jpg;20
D:\code\python\numisma\numisma\data\R_1211\41245-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13013-R.jpg;20
D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;D:\code\python\numisma\numisma\data\R_1211\13626-R.jpg;19
D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;D:\code\python\numisma\numisma\data\R_1211\19027-R.jpg;19
D:\code\python\numisma\numisma\data\R_1211\32683-R.jpg;D:\code\python\numisma\numisma\data\R_1211\30852-R.jpg;19
D:\code\python\numisma\numisma\data\R_1211\33837-R.jpg;D:\code\python\numisma\numisma\data\R_1211\18478-R.jpg;19
D:\code\python\numisma\numisma\data\R_1211\33392-R.jpg;D:\code\python\numisma\numisma\data\R_1211\14199-R.jpg;18
