coin 1;coin 2;number of matches
36848 Revers.jpg;11621 Revers.jpg;140
31336 Revers.jpg;15953 Revers.jpg;114
11641 Revers.jpg;11557 Revers.jpg;103
5682 Revers.jpg;31336 Revers.jpg;41
5056 Revers.jpg;31336 Revers.jpg;34
5682 Revers.jpg;5056 Revers.jpg;29
5991 Revers.jpg;5056 Revers.jpg;28
5056 Revers.jpg;11641 Revers.jpg;25
5392 Revers.jpg;11621 Revers.jpg;24
31336 Revers.jpg;11641 Revers.jpg;23
5682 Revers.jpg;15953 Revers.jpg;23
5056 Revers.jpg;11621 Revers.jpg;22
5392 Revers.jpg;5056 Revers.jpg;21
5991 Revers.jpg;5392 Revers.jpg;21
5392 Revers.jpg;31336 Revers.jpg;20
36848 Revers.jpg;31336 Revers.jpg;18
5991 Revers.jpg;1118 Revers.jpg;17
5682 Revers.jpg;11557 Revers.jpg;16
11621 Revers.jpg;1118 Revers.jpg;15
5682 Revers.jpg;101 Revers.jpg;15
5682 Revers.jpg;358 Revers.jpg;15
5991 Revers.jpg;15953 Revers.jpg;15
11621 Revers.jpg;11557 Revers.jpg;14
15953 Revers.jpg;11641 Revers.jpg;14
5130 Revers.jpg;1118 Revers.jpg;14
36848 Revers.jpg;358 Revers.jpg;13
5056 Revers.jpg;101 Revers.jpg;13
5056 Revers.jpg;15953 Revers.jpg;13
5056 Revers.jpg;358 Revers.jpg;13
5392 Revers.jpg;358 Revers.jpg;13
5991 Revers.jpg;358 Revers.jpg;13
11557 Revers.jpg;1118 Revers.jpg;12
15953 Revers.jpg;11557 Revers.jpg;12
5056 Revers.jpg;36848 Revers.jpg;12
5991 Revers.jpg;36848 Revers.jpg;12
11641 Revers.jpg;1118 Revers.jpg;11
15953 Revers.jpg;1118 Revers.jpg;11
358 Revers.jpg;11621 Revers.jpg;11
5056 Revers.jpg;1118 Revers.jpg;11
5130 Revers.jpg;358 Revers.jpg;11
5392 Revers.jpg;1118 Revers.jpg;11
5991 Revers.jpg;5682 Revers.jpg;10
15953 Revers.jpg;11621 Revers.jpg;9
15953 Revers.jpg;1377 Revers.jpg;9
5682 Revers.jpg;11641 Revers.jpg;9
5056 Revers.jpg;11557 Revers.jpg;8
5130 Revers.jpg;36848 Revers.jpg;8
5392 Revers.jpg;1377 Revers.jpg;8
15953 Revers.jpg;101 Revers.jpg;7
1118 Revers.jpg;101 Revers.jpg;0
11557 Revers.jpg;101 Revers.jpg;0
11621 Revers.jpg;101 Revers.jpg;0
11641 Revers.jpg;101 Revers.jpg;0
11641 Revers.jpg;11621 Revers.jpg;0
1377 Revers.jpg;101 Revers.jpg;0
1377 Revers.jpg;1118 Revers.jpg;0
1377 Revers.jpg;11557 Revers.jpg;0
1377 Revers.jpg;11621 Revers.jpg;0
1377 Revers.jpg;11641 Revers.jpg;0
31336 Revers.jpg;101 Revers.jpg;0
31336 Revers.jpg;1118 Revers.jpg;0
31336 Revers.jpg;11557 Revers.jpg;0
31336 Revers.jpg;11621 Revers.jpg;0
31336 Revers.jpg;1377 Revers.jpg;0
358 Revers.jpg;101 Revers.jpg;0
358 Revers.jpg;1118 Revers.jpg;0
358 Revers.jpg;11557 Revers.jpg;0
358 Revers.jpg;11641 Revers.jpg;0
358 Revers.jpg;1377 Revers.jpg;0
358 Revers.jpg;15953 Revers.jpg;0
358 Revers.jpg;31336 Revers.jpg;0
36848 Revers.jpg;101 Revers.jpg;0
36848 Revers.jpg;1118 Revers.jpg;0
36848 Revers.jpg;11557 Revers.jpg;0
36848 Revers.jpg;11641 Revers.jpg;0
36848 Revers.jpg;1377 Revers.jpg;0
36848 Revers.jpg;15953 Revers.jpg;0
5056 Revers.jpg;1377 Revers.jpg;0
5130 Revers.jpg;101 Revers.jpg;0
5130 Revers.jpg;11557 Revers.jpg;0
5130 Revers.jpg;11621 Revers.jpg;0
5130 Revers.jpg;11641 Revers.jpg;0
5130 Revers.jpg;1377 Revers.jpg;0
5130 Revers.jpg;15953 Revers.jpg;0
5130 Revers.jpg;31336 Revers.jpg;0
5130 Revers.jpg;5056 Revers.jpg;0
5392 Revers.jpg;101 Revers.jpg;0
5392 Revers.jpg;11557 Revers.jpg;0
5392 Revers.jpg;11641 Revers.jpg;0
5392 Revers.jpg;15953 Revers.jpg;0
5392 Revers.jpg;36848 Revers.jpg;0
5392 Revers.jpg;5130 Revers.jpg;0
5682 Revers.jpg;1118 Revers.jpg;0
5682 Revers.jpg;11621 Revers.jpg;0
5682 Revers.jpg;1377 Revers.jpg;0
5682 Revers.jpg;36848 Revers.jpg;0
5682 Revers.jpg;5130 Revers.jpg;0
5682 Revers.jpg;5392 Revers.jpg;0
5991 Revers.jpg;101 Revers.jpg;0
5991 Revers.jpg;11557 Revers.jpg;0
5991 Revers.jpg;11621 Revers.jpg;0
5991 Revers.jpg;11641 Revers.jpg;0
5991 Revers.jpg;1377 Revers.jpg;0
5991 Revers.jpg;31336 Revers.jpg;0
5991 Revers.jpg;5130 Revers.jpg;0
